Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A735717,Primo,10/09/2016 01:18:00 PM,10/09/2016 01:18:00 PM,09/27/2011,Dog,Neutered Male,5 years,German Shepherd Mix,Tan,0
A793895,,05/01/2019 06:15:00 PM,05/01/2019 06:15:00 PM,04/16/2019,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White,0
A735142,*Twix,09/24/2016 04:57:00 PM,09/24/2016 04:57:00 PM,09/19/2011,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tricolor,0
A809336,,11/26/2019 11:11:00 AM,11/26/2019 11:11:00 AM,11/22/2016,Cat,Spayed Female,3 years,Domestic Shorthair,Brown Tabby,0
A720731,Rooster 15,03/08/2016 12:52:00 PM,03/08/2016 12:52:00 PM,02/14/2015,Bird,Intact Male,1 year,Chicken Mix,Cream/Black,0
A726150,Hunter,07/09/2016 07:46:00 PM,07/09/2016 07:46:00 PM,04/07/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,0
A842458,Aggie,09/21/2021 06:43:00 PM,09/21/2021 06:43:00 PM,09/16/2012,Dog,Spayed Female,9 years,Cairn Terrier,Brown/White,0
A830588,,03/12/2021 06:30:00 PM,03/12/2021 06:30:00 PM,01/12/2021,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Brown Merle,0
A832371,Jayce,05/28/2021 12:29:00 PM,05/28/2021 12:29:00 PM,04/12/2020,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,0
A806266,,10/08/2019 11:03:00 AM,10/08/2019 11:03:00 AM,08/08/2019,Cat,Intact Male,1 month,Domestic Shorthair,Orange/White,0
A805764,Rose,10/24/2019 04:40:00 PM,10/24/2019 04:40:00 PM,10/01/2017,Dog,Spayed Female,2 years,Boxer/Pit Bull,Brown Brindle/White,0
A759386,,10/06/2017 02:21:00 PM,10/06/2017 02:21:00 PM,07/27/2017,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,0
A822237,,08/28/2020 03:27:00 PM,08/28/2020 03:27:00 PM,08/27/2020,Dog,Intact Female,1 day,Australian Shepherd Mix,Brown,0
A706555,Tig,03/29/2016 10:39:00 AM,03/29/2016 10:39:00 AM,06/30/2012,Dog,Neutered Male,3 years,American Staffordshire Terrier Mix,Brown Brindle/White,0
A773237,,07/06/2018 05:38:00 PM,07/06/2018 05:38:00 PM,04/29/2018,Dog,Spayed Female,2 months,Australian Shepherd Mix,Chocolate/Tan,0
A688894,,09/26/2014 08:22:00 AM,09/26/2014 08:22:00 AM,08/25/2014,Other,Unknown,4 weeks,Bat,Brown/Black,1
A666213,,10/30/2013 02:34:00 PM,10/30/2013 02:34:00 PM,07/28/2013,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0
A755688,Sparky,08/11/2017 11:24:00 AM,08/11/2017 11:24:00 AM,08/07/2011,Dog,Neutered Male,6 years,Rat Terrier Mix,Black/Gray,0
A820060,*Casimir,09/22/2020 02:53:00 PM,09/22/2020 02:53:00 PM,07/10/2018,Cat,Neutered Male,2 years,Domestic Shorthair,Cream Tabby/White,0
A794143,Bindi,07/12/2019 05:03:00 PM,07/12/2019 05:03:00 PM,04/05/2019,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black/White,0
A737585,Snickers,11/27/2016 06:11:00 PM,11/27/2016 06:11:00 PM,09/01/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,0
A735910,*Laney,10/07/2016 06:28:00 PM,10/07/2016 06:28:00 PM,10/01/2015,Dog,Spayed Female,1 year,Standard Schnauzer Mix,Black/White,0
A702403,Harvey,06/14/2015 12:57:00 PM,06/14/2015 12:57:00 PM,04/06/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A670222,Satchmo,02/19/2014 11:36:00 AM,02/19/2014 11:36:00 AM,01/03/2012,Dog,Neutered Male,2 years,German Shepherd Mix,Sable,0
A671624,,01/29/2014 03:32:00 PM,01/29/2014 03:32:00 PM,08/28/2013,Cat,Unknown,5 months,Domestic Shorthair Mix,Brown Tabby/White,0
A730673,Red,07/16/2016 01:26:00 PM,07/16/2016 01:26:00 PM,07/08/2015,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tan,0
A699451,*Ferris,04/19/2015 12:59:00 PM,04/19/2015 12:59:00 PM,03/27/2013,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,Brown/White,0
A682671,Bummer,07/01/2014 03:09:00 PM,07/01/2014 03:09:00 PM,07/01/2011,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,0
A790023,,03/07/2019 11:02:00 AM,03/07/2019 11:02:00 AM,08/03/2018,Cat,Intact Male,7 months,Domestic Shorthair Mix,Brown Tabby,0
A732940,Klementine,01/13/2017 02:46:00 PM,01/13/2017 02:46:00 PM,08/15/2007,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Tortie,0
A570182,Chloe,05/18/2014 11:20:00 AM,05/18/2014 11:20:00 AM,04/04/2009,Dog,Spayed Female,5 years,Beagle/Pug,Tan/Black,0
A802283,*Agamemnon,04/16/2020 09:51:00 AM,04/16/2020 09:51:00 AM,10/07/2013,Dog,Neutered Male,6 years,Beauceron/Labrador Retriever,Tricolor/Tan,0
A683113,,07/07/2014 02:03:00 PM,07/07/2014 02:03:00 PM,07/07/2013,Other,Unknown,1 year,Bat Mix,Brown,1
A766563,Bear,05/20/2018 06:17:00 PM,05/20/2018 06:17:00 PM,08/11/2016,Dog,Neutered Male,1 year,Chow Chow/German Shepherd,Red/Black,0
A796205,,06/03/2019 12:00:00 AM,06/03/2019 12:00:00 AM,05/30/2017,Other,Unknown,2 years,Raccoon,Black/Gray,1
A619852,Beau,01/12/2015 11:37:00 AM,01/12/2015 11:37:00 AM,12/01/2011,Dog,Neutered Male,3 years,Pit Bull/Australian Cattle Dog,Tan/White,0
A836971,*Unity,06/28/2021 04:22:00 PM,06/28/2021 04:22:00 PM,06/16/2019,Dog,Spayed Female,2 years,Pit Bull,Brown Brindle,0
A730678,*Amber,11/03/2016 06:20:00 PM,11/03/2016 06:20:00 PM,07/08/2014,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,0
A728462,*Brontes,06/29/2016 05:03:00 PM,06/29/2016 05:03:00 PM,06/04/2014,Dog,Neutered Male,2 years,Pekingese Mix,White/Tan,0
A735904,Sandy,06/09/2017 03:25:00 PM,06/09/2017 03:25:00 PM,12/01/2015,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White,0
A735173,Chico,09/21/2016 03:41:00 PM,09/21/2016 03:41:00 PM,09/19/2015,Dog,Intact Male,1 year,Basenji Mix,Brown/White,0
A708268,Bubba,07/28/2015 03:02:00 PM,07/28/2015 03:02:00 PM,07/25/2005,Dog,Neutered Male,10 years,Golden Retriever Mix,Red,0
A693886,Meaux,12/27/2014 08:37:00 AM,12/27/2014 08:37:00 AM,12/16/2013,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black,0
A695735,Ernie,01/31/2015 12:47:00 PM,01/31/2015 12:47:00 PM,01/21/2013,Dog,Intact Male,2 years,Golden Retriever/Standard Poodle,White,0
A792869,Oliver,04/20/2019 06:33:00 PM,04/20/2019 06:33:00 PM,04/16/2012,Dog,Neutered Male,7 years,Jack Russell Terrier Mix,Tan,0
A740999,,12/30/2016 05:02:00 PM,12/30/2016 05:02:00 PM,12/26/2015,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Brown/Black,0
A797333,Vincent,06/24/2019 12:05:00 PM,06/24/2019 12:05:00 PM,06/12/2005,Cat,Neutered Male,14 years,Domestic Shorthair,Cream Tabby,0
A815460,,03/18/2020 01:43:00 PM,03/18/2020 01:43:00 PM,03/04/2020,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby/White,0
A809452,Brownie,12/04/2019 10:34:00 AM,12/04/2019 10:34:00 AM,11/24/2016,Dog,Intact Male,3 years,Labrador Retriever/Boxer,Brown/White,0
A676564,*Snowflake,04/20/2014 02:50:00 PM,04/20/2014 02:50:00 PM,04/11/2009,Cat,Spayed Female,5 years,Domestic Shorthair Mix,White,0
A753770,,07/11/2017 09:32:00 AM,07/11/2017 09:32:00 AM,07/11/2016,Other,Unknown,1 year,Bat,Brown,1
A633660,Murica,05/07/2015 11:18:00 AM,05/07/2015 11:18:00 AM,07/31/2006,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Black/White,0
A800756,,07/26/2019 01:20:00 PM,07/26/2019 01:20:00 PM,07/26/2017,Dog,Intact Male,2 years,Rottweiler,Black/Brown,0
A724690,,05/15/2016 12:13:00 PM,05/15/2016 12:13:00 PM,10/20/2015,Other,Unknown,6 months,Bat,Brown,1
A790435,Trapper,04/26/2019 01:37:00 PM,04/26/2019 01:37:00 PM,11/10/2017,Dog,Intact Male,1 year,Labrador Retriever Mix,Black/White,0
A800639,*Eeyore,08/13/2021 01:52:00 PM,08/13/2021 01:52:00 PM,04/25/2019,Cat,Spayed Female,2 years,Domestic Shorthair,Blue,0
A677221,,05/02/2014 11:31:00 AM,05/02/2014 11:31:00 AM,10/21/2013,Dog,Spayed Female,6 months,Labrador Retriever/Catahoula,White/Brown,0
A758988,Snow,10/02/2017 11:27:00 AM,10/02/2017 11:27:00 AM,09/25/2015,Dog,Spayed Female,2 years,Pit Bull Mix,White,0
A812096,Shadow,08/11/2020 07:04:00 PM,08/11/2020 07:04:00 PM,11/15/2019,Dog,Neutered Male,8 months,Dachshund/Chihuahua Shorthair,Brown,0
A721194,Cooper,02/29/2016 05:34:00 PM,02/29/2016 05:34:00 PM,10/23/2015,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black,0
A738990,Fig,02/10/2017 07:30:00 AM,02/10/2017 07:30:00 AM,11/25/2009,Dog,Neutered Male,7 years,Pit Bull Mix,Brown/White,0
A779692,,09/23/2018 10:32:00 AM,09/23/2018 10:32:00 AM,09/04/2017,Bird,Intact Female,1 year,Chicken,White/Brown,0
A792770,,06/04/2019 07:30:00 AM,06/04/2019 07:30:00 AM,02/28/2019,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Brown,0
A697910,Boris,06/23/2015 01:38:00 PM,06/23/2015 01:38:00 PM,03/03/2013,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White,0
A752807,*Boris,07/18/2017 02:21:00 PM,07/18/2017 02:21:00 PM,04/27/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White,0
A685247,Hicks,08/11/2014 12:50:00 PM,08/11/2014 12:50:00 PM,10/04/2013,Dog,Neutered Male,10 months,Siberian Husky,Red/White,0
A577584,Sheba,07/26/2014 01:16:00 PM,07/26/2014 01:16:00 PM,06/24/2007,Dog,Spayed Female,7 years,Siberian Husky,Red,0
A673438,,02/26/2014 03:12:00 PM,02/26/2014 03:12:00 PM,02/24/2012,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby,0
A666322,Gypsy,11/03/2013 05:20:00 PM,11/03/2013 05:20:00 PM,10/30/2009,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan/White,0
A762338,,11/18/2017 12:00:00 AM,11/18/2017 12:00:00 AM,10/18/2017,Dog,Intact Female,4 weeks,Boxer Mix,Brown Brindle,0
A777234,Tyson,01/02/2019 12:00:00 AM,01/02/2019 12:00:00 AM,11/25/2017,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,0
A722871,,03/23/2016 03:02:00 PM,03/23/2016 03:02:00 PM,03/23/2015,Other,Unknown,1 year,Bat Mix,Brown,1
A430709,Spirit,08/08/2018 04:38:00 PM,08/08/2018 04:38:00 PM,09/26/2004,Dog,Neutered Male,13 years,Pit Bull/Labrador Retriever,Black/White,0
A691638,,11/07/2014 02:49:00 PM,11/07/2014 02:49:00 PM,11/07/2013,Other,Intact Male,1 year,Bat,Red,1
A813669,,02/21/2020 06:22:00 PM,02/21/2020 06:22:00 PM,02/15/2018,Dog,Neutered Male,2 years,Great Pyrenees,White,0
A674420,Jaxson,03/14/2014 11:33:00 AM,03/14/2014 11:33:00 AM,03/12/2012,Dog,Intact Male,2 years,Shih Tzu,Black/White,0
A726291,*Joni,07/23/2016 05:55:00 PM,07/23/2016 05:55:00 PM,11/09/2012,Dog,Spayed Female,3 years,Akita Mix,Tan/White,0
A721033,Lil Bit,05/21/2019 02:42:00 PM,05/21/2019 02:42:00 PM,05/20/2015,Dog,Neutered Male,4 years,Rat Terrier Mix,Tricolor/Brown Brindle,0
A687579,*Ajax,09/19/2014 12:05:00 PM,09/19/2014 12:05:00 PM,09/06/2013,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,0
A741710,Tuck,01/23/2017 06:48:00 PM,01/23/2017 06:48:00 PM,01/07/2012,Dog,Neutered Male,5 years,Akita Mix,Buff,0
A703320,Remus,06/09/2015 05:38:00 PM,06/09/2015 05:38:00 PM,03/08/2015,Dog,Neutered Male,3 months,Catahoula Mix,White/Blue,0
A821282,*Mouse,01/08/2021 12:19:00 PM,01/08/2021 12:19:00 PM,08/07/2017,Dog,Spayed Female,3 years,Pit Bull,Blue,0
A616584,Chico,10/11/2013 12:25:00 PM,10/11/2013 12:25:00 PM,10/26/2011,Dog,Neutered Male,1 year,Pit Bull Mix,White/Black,0
A757731,,09/13/2017 06:06:00 PM,09/13/2017 06:06:00 PM,07/14/2017,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue Tabby/White,0
A842167,A842167,09/15/2021 04:17:00 PM,09/15/2021 04:17:00 PM,09/10/2020,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,0
A711245,,09/05/2015 09:00:00 AM,09/05/2015 09:00:00 AM,04/04/2015,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby,0
A696008,Gunnar,01/31/2015 06:50:00 PM,01/31/2015 06:50:00 PM,11/12/2014,Dog,Neutered Male,2 months,Australian Cattle Dog/German Shepherd,Sable,0
A681341,Pepperonirol,08/21/2014 11:14:00 AM,08/21/2014 11:14:00 AM,06/01/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,0
A674986,Freedom,03/21/2014 01:03:00 PM,03/21/2014 01:03:00 PM,03/21/2011,Dog,Spayed Female,3 years,Labrador Retriever,Black,0
A777132,Jasmine,08/19/2018 07:19:00 PM,08/19/2018 07:19:00 PM,01/24/2017,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,0
A805194,*Monet,11/26/2019 08:00:00 AM,11/26/2019 08:00:00 AM,08/23/2019,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,0
A496789,Arabella,08/21/2014 11:38:00 AM,08/21/2014 11:38:00 AM,01/06/2007,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue/White,1
A818668,*Anastasia,09/14/2020 09:56:00 AM,09/14/2020 09:56:00 AM,06/12/2018,Cat,Spayed Female,2 years,Domestic Shorthair,White/Blue,0
A718762,*Sadie,01/25/2016 02:08:00 PM,01/25/2016 02:08:00 PM,04/06/2015,Dog,Spayed Female,9 months,Black Mouth Cur Mix,Brown,0
A716936,Sassy,11/30/2015 01:31:00 PM,11/30/2015 01:31:00 PM,11/28/2013,Dog,Intact Female,2 years,Rottweiler Mix,Black/Brown,0
A810014,Dash,12/21/2019 07:31:00 PM,12/21/2019 07:31:00 PM,09/13/2019,Cat,Intact Male,3 months,Domestic Shorthair,Black/White,0
A816906,,06/11/2020 08:49:00 AM,06/11/2020 08:49:00 AM,03/01/2020,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White,0
A777367,Cici,07/29/2018 05:49:00 PM,07/29/2018 05:49:00 PM,07/27/2015,Dog,Spayed Female,3 years,Staffordshire Mix,Brown/White,0
A776528,Frankie,07/23/2018 05:40:00 PM,07/23/2018 05:40:00 PM,07/15/2017,Dog,Neutered Male,1 year,Boxer Mix,White/Tan,0
A744028,,02/22/2017 04:49:00 PM,02/22/2017 04:49:00 PM,02/21/2016,Dog,Intact Female,1 year,Labrador Retriever Mix,Black,1
A777361,,08/01/2018 02:59:00 PM,08/01/2018 02:59:00 PM,07/27/2017,Dog,Spayed Female,1 year,Boxer Mix,Red/White,0
A738619,Charley,12/03/2016 03:02:00 PM,12/03/2016 03:02:00 PM,11/18/2013,Dog,Neutered Male,3 years,Lowchen/Yorkshire Terrier,Tricolor,0
A695715,Scout,01/31/2015 11:31:00 AM,01/31/2015 11:31:00 AM,06/22/2013,Dog,Neutered Male,1 year,Labrador Retriever/American Staffordshire Terrier,Black/White,0
A686758,Milo,09/13/2014 05:22:00 PM,09/13/2014 05:22:00 PM,08/26/2012,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,0
A747987,,04/28/2017 12:58:00 PM,04/28/2017 12:58:00 PM,03/13/2017,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby,0
A752582,,06/29/2017 01:41:00 PM,06/29/2017 01:41:00 PM,06/24/2016,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/Tan,0
A666482,,11/02/2013 10:26:00 AM,11/02/2013 10:26:00 AM,10/02/2013,Other,Unknown,4 weeks,Bat,Brown/Black,1
A672713,Ruger,02/22/2014 05:34:00 PM,02/22/2014 05:34:00 PM,02/15/2013,Dog,Neutered Male,1 year,Dachshund Mix,Black/Brown,0
A749587,,05/17/2017 09:27:00 AM,05/17/2017 09:27:00 AM,05/16/2016,Other,Unknown,1 year,Bat Mix,Brown,1
A693469,Lucky,12/08/2014 05:47:00 PM,12/08/2014 05:47:00 PM,06/08/2013,Dog,Neutered Male,1 year,Dachshund Longhair Mix,Black/Tan,0
A667521,Lacey,11/19/2013 02:32:00 PM,11/19/2013 02:32:00 PM,11/19/2010,Dog,Spayed Female,3 years,Border Terrier Mix,White/Tan,0
A734928,June,09/19/2016 05:26:00 PM,09/19/2016 05:26:00 PM,09/15/2015,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,0
A816458,Baby Dog,05/09/2020 12:49:00 PM,05/09/2020 12:49:00 PM,08/19/2019,Dog,Neutered Male,8 months,Border Collie Mix,Black/White,0
A689711,,10/08/2014 02:59:00 PM,10/08/2014 02:59:00 PM,10/08/2007,Cat,Neutered Male,7 years,Domestic Shorthair,Blue/White,1
A664039,,10/07/2013 01:09:00 PM,10/07/2013 01:09:00 PM,05/28/2013,Dog,Neutered Male,4 months,Labrador Retriever Mix,Yellow,0
A771257,Patsy,05/04/2018 12:21:00 PM,05/04/2018 12:21:00 PM,05/02/2010,Dog,Spayed Female,8 years,Cairn Terrier/Chihuahua Shorthair,Black/Gray,0
A790768,Ceelo,06/11/2019 10:38:00 AM,06/11/2019 10:38:00 AM,03/16/2017,Dog,Neutered Male,2 years,Border Collie Mix,Yellow Brindle,0
A750360,Poppy,06/14/2017 07:16:00 PM,06/14/2017 07:16:00 PM,05/26/2015,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White,0
A829674,Ebony,03/20/2021 05:28:00 PM,03/20/2021 05:28:00 PM,02/20/2019,Dog,Spayed Female,2 years,Border Collie Mix,Black/White,0
A735790,Bella,10/03/2016 03:52:00 PM,10/03/2016 03:52:00 PM,09/29/2015,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Brown,0
A834778,Alayna,05/19/2021 11:36:00 AM,05/19/2021 11:36:00 AM,03/03/2021,Dog,Intact Female,2 months,German Shepherd,Black/Brown,0
A813778,,02/23/2020 05:34:00 PM,02/23/2020 05:34:00 PM,09/18/2019,Cat,Intact Male,5 months,Domestic Shorthair,Brown Tabby/White,0
A768780,,03/24/2018 07:11:00 PM,03/24/2018 07:11:00 PM,03/21/2018,Cat,Intact Male,3 days,Domestic Shorthair Mix,Orange Tabby,0
A698086,Ernie,07/06/2015 02:11:00 PM,07/06/2015 02:11:00 PM,03/05/2013,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Black/White,0
A756245,,08/22/2017 06:03:00 PM,08/22/2017 06:03:00 PM,06/16/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A832877,Nakita,05/07/2021 12:11:00 PM,05/07/2021 12:11:00 PM,02/21/2021,Dog,Spayed Female,2 months,Siberian Husky,White/Black,0
A767637,Lily,03/11/2018 06:46:00 PM,03/11/2018 06:46:00 PM,03/04/2016,Dog,Spayed Female,2 years,Great Pyrenees,White,0
A658002,*Jess,04/09/2015 04:43:00 PM,04/09/2015 04:43:00 PM,07/04/2007,Dog,Spayed Female,7 years,Labrador Retriever Mix,Chocolate,0
A664112,Grant,10/05/2013 11:47:00 AM,10/05/2013 11:47:00 AM,07/29/2013,Dog,Neutered Male,2 months,Labrador Retriever/Labrador Retriever,White,0
A670595,Grace,01/14/2014 10:49:00 AM,01/14/2014 10:49:00 AM,01/10/1998,Dog,Intact Female,16 years,Chow Chow Mix,Red,1
A729629,*Crimson,07/20/2016 06:57:00 PM,07/20/2016 06:57:00 PM,04/13/2016,Cat,Neutered Male,3 months,Siamese Mix,Flame Point,0
A768206,Panda,04/23/2018 01:53:00 PM,04/23/2018 01:53:00 PM,03/14/2016,Dog,Spayed Female,2 years,Border Collie Mix,Black/White,0
A700131,Piper,04/10/2015 02:30:00 PM,04/10/2015 02:30:00 PM,01/24/2015,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby,0
A804807,,09/19/2019 03:39:00 PM,09/19/2019 03:39:00 PM,09/15/2019,Cat,Unknown,4 days,Domestic Shorthair,White,0
A797498,*Lalo,09/09/2019 05:21:00 PM,09/09/2019 05:21:00 PM,04/14/2019,Cat,Neutered Male,4 months,Domestic Shorthair,Black/White,0
A833238,Cairo - Event,04/30/2021 12:35:00 PM,04/30/2021 12:35:00 PM,12/26/2020,Dog,Neutered Male,4 months,Great Pyrenees,White,0
A727332,*Maddy,03/03/2017 06:38:00 PM,03/03/2017 06:38:00 PM,05/21/2015,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/Black,0
A828992,*Maddox,03/13/2021 02:42:00 PM,03/13/2021 02:42:00 PM,01/30/2019,Dog,Neutered Male,2 years,Pit Bull,Brown Brindle,0
A801435,,08/09/2019 03:44:00 PM,08/09/2019 03:44:00 PM,05/09/2019,Dog,Intact Male,3 months,Labrador Retriever,Black,0
A688736,*Raven,01/11/2015 02:23:00 PM,01/11/2015 02:23:00 PM,07/01/2014,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black,0
A686909,,08/28/2014 06:20:00 PM,08/28/2014 06:20:00 PM,08/28/2014,Cat,Unknown,0 years,Domestic Shorthair Mix,White/Brown Tabby,0
A727368,*Ms Krabappl,06/23/2016 10:38:00 AM,06/23/2016 10:38:00 AM,04/09/2016,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,0
A594659,Xander,01/09/2021 07:06:00 AM,01/09/2021 07:06:00 AM,09/10/2009,Dog,Neutered Male,11 years,Labrador Retriever Mix,Black/White,1
A677554,,04/26/2014 03:31:00 PM,04/26/2014 03:31:00 PM,04/04/2014,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Blue Tabby,0
A690092,Baily,10/30/2014 01:24:00 PM,10/30/2014 01:24:00 PM,10/22/2011,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,0
A671995,Lilly,02/09/2014 07:02:00 PM,02/09/2014 07:02:00 PM,02/02/2013,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,0
A842402,,09/17/2021 04:19:00 PM,09/17/2021 04:19:00 PM,08/20/2021,Cat,Intact Female,4 weeks,Domestic Shorthair,Black,0
A702496,Murphy,05/18/2015 06:22:00 PM,05/18/2015 06:22:00 PM,09/14/2014,Dog,Neutered Male,8 months,Basset Hound Mix,Black/White,0
A786878,,01/07/2019 04:47:00 PM,01/07/2019 04:47:00 PM,10/12/2018,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Black,0
A838282,A838282,07/13/2021 05:09:00 PM,07/13/2021 05:09:00 PM,04/21/2021,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,0
A738362,Dixie-Pie,11/21/2016 10:45:00 PM,11/21/2016 10:45:00 PM,11/13/2015,Dog,Spayed Female,1 year,Boxer/Labrador Retriever,Tan/White,0
A689491,Owen,10/13/2014 05:46:00 PM,10/13/2014 05:46:00 PM,10/04/2012,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Buff,0
A813657,Blossom,04/03/2020 12:12:00 PM,04/03/2020 12:12:00 PM,02/15/2016,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Brown/White,0
A763573,Chuck Wagon,12/13/2017 04:22:00 PM,12/13/2017 04:22:00 PM,12/11/2014,Dog,Intact Male,3 years,Pekingese Mix,Brown Brindle/White,0
A729098,Boomer 2,06/14/2016 01:38:00 PM,06/14/2016 01:38:00 PM,06/13/2015,Dog,Intact Male,1 year,Shih Tzu Mix,White/Cream,0
A723411,Winston,04/04/2016 01:19:00 PM,04/04/2016 01:19:00 PM,03/31/2012,Cat,Neutered Male,4 years,Siamese Mix,Flame Point,0
A548939,Leo,08/21/2014 08:52:00 AM,08/21/2014 08:52:00 AM,07/07/2007,Dog,Neutered Male,7 years,Parson Russell Terrier Mix,White/Red,1
A738345,Lucas,11/13/2016 04:01:00 PM,11/13/2016 04:01:00 PM,11/13/2014,Dog,Intact Male,2 years,German Shepherd Mix,Brown/Black,0
A753455,Sonny,07/12/2017 06:59:00 PM,07/12/2017 06:59:00 PM,07/06/2016,Dog,Neutered Male,1 year,Australian Shepherd,White,0
A712926,Bella,10/08/2015 04:26:00 PM,10/08/2015 04:26:00 PM,11/30/2014,Dog,Spayed Female,10 months,Rat Terrier Mix,Tricolor,0
A677257,Athena,05/16/2014 05:15:00 PM,05/16/2014 05:15:00 PM,04/22/2013,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
A725855,*Morrison,06/24/2016 01:09:00 PM,06/24/2016 01:09:00 PM,05/03/2014,Dog,Spayed Female,2 years,German Shepherd Mix,Brown Brindle/White,0
A790085,,03/04/2019 05:52:00 PM,03/04/2019 05:52:00 PM,01/20/2019,Dog,Intact Female,1 month,Alaskan Husky Mix,Black/Brown,0
A690920,,10/28/2014 12:37:00 PM,10/28/2014 12:37:00 PM,10/06/2014,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Brown Tabby,0
A735661,*Laverne,10/03/2016 05:38:00 PM,10/03/2016 05:38:00 PM,09/27/2015,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Black,0
A726635,,05/29/2016 12:00:00 AM,05/29/2016 12:00:00 AM,04/10/2016,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby,1
A693914,Karma,12/27/2014 11:09:00 AM,12/27/2014 11:09:00 AM,12/16/2012,Dog,Intact Female,2 years,Pit Bull Mix,White/Tan,0
A650188,Wolf,03/11/2014 05:46:00 PM,03/11/2014 05:46:00 PM,11/25/2012,Dog,Neutered Male,1 year,Alaskan Malamute/Labrador Retriever,Brown/Tan,0
A764809,Franco,01/07/2018 11:38:00 AM,01/07/2018 11:38:00 AM,01/06/2016,Dog,Intact Male,2 years,Shih Tzu Mix,Tan/Black,0
A715223,*Goofy,11/07/2015 05:56:00 PM,11/07/2015 05:56:00 PM,07/02/2015,Dog,Intact Male,4 months,Labrador Retriever Mix,Black,0
A711923,*Remy,12/02/2015 07:57:00 AM,12/02/2015 07:57:00 AM,06/14/2015,Dog,Neutered Male,5 months,Patterdale Terr Mix,Black,0
